Drug Narcotics Criminal Activity Type,,
Current date: 9/3/2019 5:57:06 PM (Mountain Daylight Time),,
Jurisdiction by Geography: Colorado,,
Incident Date: 2016,,
Offense Type: Drug/Narcotic Violations,,
Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,131,2.4
Cultivating/Manufacturing/Publishing,373,6.82
Distributing/Selling,"1,861",34.04
Exploiting Children,7,0.13
Operating/Promoting/Assisting,29,0.53
Possessing/Concealing,"16,492",301.64
Transporting/Transmitting/Importing,161,2.94
Using/Consuming,"2,503",45.78
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
